Batch_ID,Machine_ID,Operator,Shift,Test_DateTime,Chamber_Temp_C,Chamber_Pressure_PSI,Spindle_Speed_RPM,Motor_Torque_Nm,Vibration_mmps,Coolant_Flow_Lpm,Input_Voltage_V,Input_Current_A,Output_Power_kW,Ambient_Temp_C,Ambient_Humidity_pct,Cycle_Time_s,Fill_Weight_g,Seal_Strength_N,Thickness_mm,Diameter_mm,Hardness_HRC,Surface_Roughness_Ra,Noise_Level_dB,Leak_Rate_sccm,Bearing_Temp_C,Hydraulic_Pressure_Bar,Gain_Setting,Filter_Mode,Calibration_Level,Recipe_Code,Tool_Head_Index,Program_Step,Standby_Sensor_Backup_V
BATCH-1010,M-01,J.Lee,Day,2026-01-07 11:00,183.6,40.538,2989.1,14.072,2.296,14.424,229.4,8.809,1.713,21.977,39.292,35.581,498.1,54.835,2.023,25.435,58.983,0.699,66.200,0.447,53.794,117.6,2,1,3,1,4,2,na
BATCH-1011,M-01,J.Lee,Night,2026-01-07 16:18,183.6,43.181,3054.9,12.528,2.083,15.122,230.4,7.361,1.796,22.869,44.032,33.858,500.6,55.857,2.042,25.432,59.846,0.809,69.800,0.548,56.917,121.8,2,1,3,1,4,2,na
BATCH-1012,M-02,A.Kumar,Day,2026-01-07 21:36,185.7,43.738,3041.3,11.940,2.184,17.560,230.5,8.960,1.792,22.179,41.416,31.454,506.4,56.563,2.052,25.499,56.653,0.707,66.200,0.390,51.168,118.2,2,1,3,1,4,2,na
BATCH-1013,M-02,J.Lee,Night,2026-01-08 02:54,179.3,40.769,3040.7,12.671,1.762,14.904,233.2,7.804,2.034,20.540,35.667,33.271,503.6,56.936,2.000,25.314,56.899,0.826,69.800,0.568,50.926,117.2,2,1,3,1,4,2,na
BATCH-1014,M-01,J.Lee,Night,2026-01-08 08:12,179.8,43.445,3065.3,12.410,2.834,16.149,229.8,8.355,1.856,23.795,44.587,35.556,498.9,56.667,2.087,25.454,59.221,0.710,66.200,0.541,52.716,115.4,2,1,3,1,4,2,na
BATCH-1015,M-02,S.Ortiz,Night,2026-01-08 13:30,183.3,42.619,3001.1,12.323,2.139,14.297,230.6,8.052,2.087,21.762,44.391,33.973,496.4,55.269,2.024,25.495,58.326,0.759,69.800,0.469,56.284,113.0,2,1,3,1,4,2,na
BATCH-1016,M-04,J.Lee,Day,2026-01-08 18:48,182.0,43.233,3034.1,12.991,2.133,14.965,231.2,7.982,1.799,21.959,52.567,32.801,491.4,54.408,2.039,25.258,58.662,0.700,66.200,0.416,50.657,118.4,3,1,3,1,4,2,na
BATCH-1017,M-02,R.Novak,Day,2026-01-09 00:06,185.9,44.845,2984.5,13.106,2.318,16.771,230.4,8.964,1.942,20.600,48.154,33.394,497.1,54.546,2.000,25.426,58.409,0.865,69.800,0.411,47.769,120.6,2,1,3,1,4,2,na
BATCH-1018,M-04,A.Kumar,Night,2026-01-09 05:24,182.3,41.632,3016.2,12.076,2.244,14.373,229.1,8.313,1.775,21.335,39.879,35.009,499.2,54.415,1.922,25.360,58.469,0.886,66.200,0.553,53.007,119.6,3,1,3,1,4,2,na
BATCH-1019,M-03,S.Ortiz,Night,2026-01-09 10:42,180.8,40.869,2993.5,12.039,2.167,16.812,230.4,8.639,2.222,20.192,54.270,34.656,496.1,58.401,2.040,25.393,56.408,0.777,69.800,0.623,55.214,118.3,2,1,3,1,4,2,na
BATCH-1020,M-01,M.Chen,Day,2026-01-09 16:00,189.4,40.666,3004.8,12.280,1.863,15.708,232.1,8.481,1.722,20.115,51.105,33.713,499.5,56.781,2.171,25.428,59.257,0.804,66.200,0.436,56.641,116.2,2,1,4,1,4,2,na
BATCH-1021,M-02,A.Kumar,Day,2026-01-09 21:18,184.3,40.776,3029.8,10.658,2.241,14.438,227.9,8.691,1.946,20.067,47.910,33.560,500.3,46.179,2.089,25.361,59.404,0.655,69.800,0.546,52.981,122.4,2,1,3,1,4,2,na
BATCH-1022,M-04,R.Novak,Night,2026-01-10 02:36,185.2,41.884,2959.1,11.288,2.665,15.632,230.3,8.531,1.995,20.015,43.868,33.530,499.1,56.968,2.049,25.346,57.725,0.770,66.200,0.291,53.095,114.7,2,1,3,1,4,2,na
BATCH-1023,M-03,A.Kumar,Day,2026-01-10 07:54,180.7,42.512,3104.6,13.593,2.504,15.973,228.6,7.987,1.962,19.945,40.203,32.893,497.4,55.584,2.037,25.403,57.948,0.795,70.963,0.442,56.539,123.1,2,1,3,1,5,2,na
BATCH-1024,M-03,R.Novak,Night,2026-01-10 13:12,183.4,42.415,2949.7,13.816,2.578,15.622,232.4,8.899,1.872,20.141,43.139,35.938,500.7,54.944,2.051,25.313,56.163,1.062,71.925,0.497,49.887,116.0,2,0,3,1,4,2,na
BATCH-1025,M-02,R.Novak,Day,2026-01-10 18:30,185.3,43.241,2939.3,12.301,1.947,13.430,227.0,8.302,1.881,20.162,50.444,33.613,501.8,53.834,2.077,25.313,58.617,0.689,68.007,0.409,53.145,117.0,2,1,3,2,4,2,na
BATCH-1026,M-02,M.Chen,Night,2026-01-10 23:48,181.5,42.020,3057.9,12.961,1.803,14.273,228.9,7.877,1.907,19.911,54.423,35.461,495.6,58.372,1.991,25.454,58.686,0.946,70.023,0.406,54.419,114.1,2,1,2,1,4,2,na
BATCH-1027,M-03,A.Kumar,Night,2026-01-11 05:06,186.1,44.180,3039.6,12.749,2.062,14.752,230.8,8.329,1.878,23.560,52.716,35.826,505.6,57.843,2.106,25.308,57.925,0.900,70.683,0.433,54.988,118.0,2,1,3,2,4,2,na
BATCH-1028,M-01,M.Chen,Day,2026-01-11 10:24,183.2,41.603,3031.2,14.963,2.117,14.926,233.1,9.100,2.045,21.092,42.556,35.198,499.6,52.681,2.086,25.453,59.349,0.828,66.515,0.529,52.878,123.9,2,1,3,1,4,2,na
BATCH-1029,M-01,M.Chen,Day,2026-01-11 15:42,184.1,46.080,3031.4,13.396,2.428,15.621,229.9,8.840,2.232,24.739,39.402,33.482,500.1,56.221,2.086,25.437,57.599,0.799,67.029,0.481,54.076,122.1,2,1,2,1,3,2,na
BATCH-1030,M-04,A.Kumar,Day,2026-01-11 21:00,183.2,42.939,2999.4,12.398,1.592,15.178,228.9,8.361,1.816,23.017,45.704,34.484,502.8,52.085,2.072,25.262,58.678,0.785,70.462,0.276,48.526,123.9,2,1,3,1,4,2,na
BATCH-1031,M-01,J.Lee,Day,2026-01-12 02:18,190.6,40.714,2955.1,11.736,2.559,13.665,233.8,8.360,1.695,21.268,36.158,33.971,500.9,50.861,2.051,25.346,56.776,0.817,71.370,0.288,52.552,122.1,2,1,3,1,4,2,na
BATCH-1032,M-03,J.Lee,Day,2026-01-12 07:36,185.0,40.394,3003.8,11.215,2.053,15.380,227.1,8.371,1.887,25.236,46.616,32.916,503.8,53.120,2.084,25.496,57.972,0.835,69.126,0.439,54.998,115.6,2,1,3,1,4,2,na
BATCH-1033,M-03,M.Chen,Night,2026-01-12 12:54,181.8,42.724,2966.1,12.663,1.972,15.611,225.6,9.331,2.287,21.091,44.262,34.389,501.1,57.587,2.080,25.322,57.791,0.803,66.240,0.546,51.839,118.7,2,1,3,1,4,2,na
BATCH-1034,M-03,S.Ortiz,Day,2026-01-12 18:12,187.5,41.665,3048.8,11.895,1.796,15.560,230.9,8.653,1.779,23.113,42.670,32.585,497.6,57.859,2.032,25.363,58.270,0.786,71.974,0.225,54.130,116.9,2,1,3,1,4,2,na
BATCH-1035,M-01,M.Chen,Night,2026-01-12 23:30,181.3,43.071,2992.6,11.362,1.604,16.081,229.0,8.672,2.146,22.449,37.026,35.425,501.4,56.539,2.021,25.437,57.557,0.777,66.938,0.450,54.983,125.3,2,1,3,1,5,2,na
BATCH-1036,M-04,M.Chen,Day,2026-01-13 04:48,185.6,42.710,2958.7,11.983,2.347,15.834,228.0,8.912,2.152,23.953,47.568,33.442,495.4,57.175,2.055,25.463,57.842,0.804,67.330,0.447,53.246,115.2,2,1,3,1,4,2,na
BATCH-1037,M-01,M.Chen,Day,2026-01-13 10:06,179.1,41.891,2983.9,11.635,2.122,15.459,231.4,8.596,1.817,24.342,42.336,34.241,500.4,56.549,2.127,25.380,58.991,0.817,68.685,0.639,54.375,123.6,2,1,3,1,4,2,na
BATCH-1038,M-04,J.Lee,Night,2026-01-13 15:24,181.0,40.730,3020.6,13.850,1.713,14.930,230.5,8.396,1.985,22.048,39.150,34.340,499.9,53.076,1.988,25.352,57.476,0.807,71.108,0.461,51.882,123.6,2,1,3,1,4,2,na
BATCH-1039,M-01,J.Lee,Night,2026-01-13 20:42,185.6,39.728,2971.8,15.874,1.711,13.339,228.9,8.421,2.144,20.870,30.639,33.689,499.2,56.296,1.977,25.514,56.072,0.800,69.708,0.538,53.545,127.3,2,1,3,1,4,2,na
BATCH-1040,M-03,J.Lee,Day,2026-01-14 02:00,187.2,41.330,2958.9,12.494,1.999,15.430,227.4,8.471,1.843,22.690,44.862,34.704,499.5,57.401,2.058,25.539,60.100,0.791,68.830,0.514,55.342,118.4,2,1,4,1,4,2,na
BATCH-1041,M-03,M.Chen,Night,2026-01-14 07:18,185.5,43.285,3012.2,13.684,2.601,15.208,231.7,8.485,1.869,20.983,53.861,33.430,492.5,57.263,2.053,25.478,59.658,0.784,68.927,0.287,54.345,122.8,2,1,3,1,4,2,na
BATCH-1042,M-02,S.Ortiz,Day,2026-01-14 12:36,184.7,42.321,3012.2,12.562,2.022,15.272,231.3,8.791,1.813,25.020,53.306,35.046,497.8,58.567,2.059,25.407,56.449,0.813,68.087,0.577,52.710,129.1,2,1,3,1,4,2,na
BATCH-1043,M-01,J.Lee,Day,2026-01-14 17:54,184.1,40.131,2974.7,11.811,1.649,13.723,229.8,8.521,1.748,22.205,42.715,32.385,500.4,57.125,2.062,25.335,58.828,0.814,69.116,0.522,54.493,117.5,2,1,3,1,4,2,na
BATCH-1044,M-01,A.Kumar,Day,2026-01-14 23:12,180.6,42.260,2976.4,13.718,2.026,13.919,233.7,8.793,1.803,21.452,41.989,34.152,500.6,56.054,2.039,25.334,57.396,0.885,62.941,0.551,55.572,113.9,2,1,2,1,3,2,na
BATCH-1045,M-02,A.Kumar,Night,2026-01-15 04:30,182.8,42.578,3011.6,12.931,2.018,16.053,227.9,8.468,1.716,22.277,47.344,36.327,495.9,58.210,2.124,25.442,58.316,0.575,67.407,0.893,49.490,112.5,2,1,3,1,4,2,na
BATCH-1046,M-03,A.Kumar,Night,2026-01-15 09:48,183.6,40.674,2927.6,11.670,1.291,14.960,226.9,8.531,1.905,19.979,40.008,32.800,505.1,54.920,1.970,25.433,58.353,0.739,68.483,0.292,56.550,122.9,2,1,3,1,4,2,na
BATCH-1047,M-01,R.Novak,Day,2026-01-15 15:06,188.2,42.231,2929.6,12.348,2.084,15.682,228.6,7.701,1.785,20.543,46.509,33.187,496.5,52.354,2.009,25.512,57.719,0.821,65.698,0.672,53.260,112.5,2,1,3,1,4,2,2.654
BATCH-1048,M-02,M.Chen,Day,2026-01-15 20:24,186.0,42.087,2964.1,11.800,2.031,15.028,229.9,8.867,1.935,23.801,48.830,34.617,503.9,54.511,2.045,25.452,57.059,0.920,68.773,0.471,54.936,118.5,2,1,3,1,4,2,na
BATCH-1049,M-01,A.Kumar,Day,2026-01-16 01:42,179.7,40.286,2989.3,11.394,2.309,15.030,230.5,8.639,1.667,21.015,51.135,34.215,501.7,52.765,1.968,25.280,57.171,0.751,67.591,0.529,56.634,121.7,2,1,3,1,4,2,na
BATCH-1050,M-04,M.Chen,Day,2026-01-16 07:00,186.0,42.537,3015.5,13.241,2.655,15.938,229.5,8.899,1.950,20.430,44.499,34.421,497.4,52.974,2.041,25.484,56.901,0.612,71.511,0.495,50.982,120.7,2,1,3,1,4,2,na
BATCH-1051,M-03,A.Kumar,Night,2026-01-16 12:18,183.8,42.841,3073.8,14.028,2.438,14.484,230.7,7.341,2.025,22.805,43.982,34.587,507.1,54.566,2.133,25.320,57.002,0.862,71.146,0.458,52.439,121.7,2,1,2,1,4,2,na
BATCH-1052,M-04,S.Ortiz,Day,2026-01-16 17:36,183.0,43.625,3042.9,11.381,2.019,15.096,227.5,9.335,1.601,23.779,40.610,34.762,495.2,52.623,2.051,25.369,57.919,0.736,67.068,0.443,53.365,120.9,2,1,4,1,4,2,na
BATCH-1053,M-03,M.Chen,Day,2026-01-16 22:54,186.8,43.581,2992.0,12.950,1.768,14.538,232.9,8.444,1.956,23.078,40.866,35.332,503.7,54.076,2.062,25.420,57.141,0.681,67.698,0.533,52.276,125.1,2,1,3,1,4,2,na
BATCH-1054,M-02,A.Kumar,Night,2026-01-17 04:12,188.1,39.933,2999.0,11.979,2.872,14.566,229.8,8.943,2.084,23.494,43.868,34.492,504.0,49.319,1.987,25.560,58.818,0.738,67.852,0.348,57.817,116.2,2,1,3,1,4,2,na
BATCH-1055,M-03,J.Lee,Night,2026-01-17 09:30,187.8,40.593,2949.9,12.110,2.118,14.691,232.2,8.084,1.719,20.865,46.837,33.710,497.3,55.640,2.019,25.649,59.785,0.782,67.097,0.575,52.115,117.3,2,2,3,1,4,2,na
BATCH-1056,M-03,M.Chen,Day,2026-01-17 14:48,182.5,42.773,2999.1,12.026,2.104,15.222,230.7,8.745,2.151,19.867,49.568,34.807,505.6,55.004,2.031,25.449,57.304,0.740,68.390,0.458,52.778,116.9,2,1,3,1,4,2,na
BATCH-1057,M-02,R.Novak,Night,2026-01-17 20:06,184.1,42.771,2985.6,11.809,2.093,14.521,230.9,8.079,1.963,24.252,40.984,36.280,499.0,52.549,2.034,25.385,58.287,0.579,66.483,0.387,54.450,123.3,2,1,3,1,4,2,na
BATCH-1058,M-03,J.Lee,Day,2026-01-18 01:24,186.0,42.773,3016.1,12.539,2.159,16.256,231.1,8.250,1.794,21.516,52.463,33.841,501.2,56.978,2.114,25.443,58.600,0.890,65.739,0.455,51.355,123.6,2,1,3,1,4,2,na
BATCH-1059,M-01,J.Lee,Day,2026-01-18 06:42,188.4,47.779,2958.6,11.835,2.057,14.105,230.9,9.266,1.892,21.624,43.644,32.831,501.0,57.813,2.078,25.471,58.566,0.927,69.245,0.626,53.130,121.8,2,1,3,1,4,2,na
BATCH-1060,M-02,R.Novak,Night,2026-01-18 12:00,189.4,42.856,3026.0,12.716,1.928,14.813,231.3,8.424,1.984,23.992,44.893,35.328,499.5,50.177,1.994,25.374,58.091,0.865,69.259,0.446,54.698,124.7,3,1,3,2,4,2,na
BATCH-1061,M-02,J.Lee,Day,2026-01-18 17:18,189.4,43.703,3076.6,12.460,1.936,14.560,232.7,8.587,1.911,22.834,41.264,33.856,503.2,52.712,2.062,25.544,58.891,0.686,66.391,0.536,53.268,115.3,2,1,2,1,4,2,3.430
BATCH-1062,M-02,J.Lee,Night,2026-01-18 22:36,189.1,43.431,2994.6,12.309,2.090,16.447,230.4,8.848,1.981,22.684,32.879,31.393,503.2,52.693,2.075,25.418,58.579,0.780,69.791,0.427,53.795,126.7,2,1,3,1,4,2,na
BATCH-1063,M-04,A.Kumar,Day,2026-01-19 03:54,189.1,42.977,3020.1,11.774,1.937,15.197,231.4,8.698,1.762,25.248,49.420,35.017,493.0,52.180,2.107,25.440,56.515,0.799,66.737,0.576,52.835,126.1,2,1,3,1,4,2,na
BATCH-1064,M-04,A.Kumar,Day,2026-01-19 09:12,189.7,41.527,3034.5,12.039,1.886,16.032,229.8,8.560,1.925,21.035,48.684,33.358,505.2,57.488,2.129,25.453,59.043,0.860,68.506,0.569,50.668,122.9,2,1,3,1,4,2,na
BATCH-1065,M-03,M.Chen,Night,2026-01-19 14:30,188.9,43.138,2979.9,13.104,2.132,13.514,232.9,8.646,1.688,23.392,43.593,33.891,493.4,54.419,1.999,25.434,59.065,0.867,69.641,0.685,54.708,127.1,2,2,4,1,5,2,na
BATCH-1066,M-02,M.Chen,Night,2026-01-19 19:48,188.4,40.841,3011.2,12.901,2.024,15.267,228.6,9.461,1.883,22.086,45.335,34.398,504.1,54.206,2.009,25.467,57.084,0.727,67.933,0.482,57.861,113.4,2,1,3,1,4,2,na
BATCH-1067,M-03,M.Chen,Night,2026-01-20 01:06,189.1,41.645,3000.6,11.718,2.551,15.890,233.6,8.477,1.764,22.403,47.580,34.229,504.5,48.988,1.987,25.351,58.046,0.808,68.909,0.567,54.040,117.9,2,1,3,1,4,2,na
BATCH-1068,M-01,A.Kumar,Day,2026-01-20 06:24,186.1,41.272,3004.9,12.579,1.305,15.082,229.9,8.580,1.790,24.293,37.187,34.851,495.6,56.906,2.038,25.355,58.820,0.846,66.967,0.510,54.496,117.1,2,1,3,1,4,2,na
BATCH-1069,M-02,M.Chen,Day,2026-01-20 11:42,183.1,42.123,2961.3,13.101,2.427,16.065,227.1,8.920,2.085,22.762,42.355,33.477,498.4,62.200,2.073,25.312,57.749,0.946,67.607,0.630,55.524,122.9,2,1,3,1,4,2,na
BATCH-1070,M-01,J.Lee,Day,2026-01-20 17:00,186.1,45.472,3001.2,11.164,2.474,14.483,230.3,8.942,2.064,22.807,48.971,34.616,495.6,55.900,2.099,25.435,59.288,0.870,67.588,0.428,51.207,115.8,2,1,3,1,4,2,na
BATCH-1071,M-03,A.Kumar,Day,2026-01-20 22:18,189.6,39.199,3024.9,12.935,1.478,16.409,228.6,8.975,1.991,23.609,38.729,33.689,499.1,62.500,2.046,25.462,60.837,0.879,66.507,0.575,57.746,123.0,2,1,3,2,4,2,na
BATCH-1072,M-04,M.Chen,Night,2026-01-21 03:36,184.9,43.029,3072.6,11.970,1.997,17.299,231.7,8.755,1.736,21.453,46.468,34.887,498.8,59.082,2.034,25.437,57.057,0.808,67.646,0.481,54.445,125.5,2,1,4,1,4,2,na
BATCH-1073,M-03,J.Lee,Night,2026-01-21 08:54,189.7,39.581,3048.0,12.956,1.989,14.637,228.7,8.043,1.853,20.741,38.217,34.738,503.1,51.074,2.058,25.534,56.343,0.941,64.903,0.494,57.590,122.8,2,1,3,2,4,2,na
BATCH-1074,M-01,M.Chen,Night,2026-01-21 14:12,177.1,41.292,3107.7,11.889,1.678,14.554,229.1,9.153,2.082,20.433,47.332,32.877,505.2,45.941,2.008,25.400,58.365,0.841,67.018,0.509,52.387,121.1,2,1,3,1,4,2,na
BATCH-1075,M-02,S.Ortiz,Day,2026-01-21 19:30,187.5,43.633,2961.6,11.056,1.867,16.453,226.2,8.041,1.921,19.050,44.822,35.303,505.6,55.552,2.154,25.453,58.866,0.714,67.430,0.525,58.000,116.0,2,1,3,1,4,2,na
BATCH-1076,M-03,M.Chen,Night,2026-01-22 00:48,185.3,42.096,3043.6,11.198,1.767,16.580,229.1,8.621,2.248,25.084,36.924,33.357,497.8,60.402,1.970,25.313,57.723,0.940,67.488,0.488,55.705,116.6,2,1,3,2,4,2,na
BATCH-1077,M-02,S.Ortiz,Night,2026-01-22 06:06,184.1,40.383,3009.2,12.538,2.626,14.477,225.2,8.198,1.959,20.345,50.824,34.970,499.2,58.717,2.059,25.369,59.744,0.870,67.517,0.521,55.217,125.0,2,0,3,2,4,2,na
BATCH-1078,M-04,M.Chen,Night,2026-01-22 11:24,185.3,40.927,3109.5,12.708,2.381,14.580,226.8,8.474,1.929,21.668,41.327,34.441,493.3,55.629,2.151,25.456,56.394,0.756,67.876,0.658,54.515,123.1,2,1,2,1,4,2,na
BATCH-1079,M-04,R.Novak,Night,2026-01-22 16:42,179.0,43.019,2959.6,11.777,2.481,14.718,231.5,8.632,1.854,21.585,40.949,36.206,496.8,53.525,2.050,25.468,58.832,0.752,68.959,0.599,53.453,119.8,2,1,3,1,4,2,na
BATCH-1080,M-04,M.Chen,Day,2026-01-22 22:00,184.3,40.904,2958.0,13.011,2.317,13.656,231.6,8.629,1.920,22.461,46.003,33.732,503.9,57.421,2.040,25.376,57.273,0.830,69.749,0.587,56.641,118.3,2,1,3,1,4,2,na
BATCH-1081,M-02,A.Kumar,Day,2026-01-23 03:18,186.1,42.325,2970.0,11.171,1.761,14.081,230.9,8.669,1.877,23.224,50.743,33.581,506.5,52.079,2.032,25.394,60.063,0.846,66.700,0.454,54.309,111.9,2,1,3,1,4,2,na
BATCH-1082,M-03,A.Kumar,Night,2026-01-23 08:36,189.4,42.068,2893.8,12.447,1.943,13.996,228.1,9.145,2.006,23.291,39.921,33.977,495.1,56.429,2.041,25.279,60.391,0.820,65.594,0.411,49.672,115.7,2,1,3,1,3,2,na
BATCH-1083,M-02,S.Ortiz,Day,2026-01-23 13:54,183.4,41.023,2973.7,11.531,2.247,14.232,229.9,8.681,2.044,21.125,45.308,33.636,497.6,56.516,2.119,25.371,57.080,0.831,65.916,0.596,51.542,127.6,2,1,3,1,4,2,na
BATCH-1084,M-02,A.Kumar,Night,2026-01-23 19:12,182.6,45.216,2962.0,11.979,1.733,14.965,230.0,8.402,1.782,21.749,47.144,34.960,499.9,58.181,1.939,25.471,57.341,0.970,67.026,0.588,53.591,114.9,2,1,3,1,4,2,na
BATCH-1085,M-03,J.Lee,Day,2026-01-24 00:30,183.5,42.951,3007.5,12.538,2.314,15.234,227.7,8.886,1.700,22.424,48.466,32.060,501.1,63.279,2.127,25.446,59.032,0.907,67.296,0.647,54.682,120.8,2,1,3,1,4,2,na
BATCH-1086,M-04,R.Novak,Day,2026-01-24 05:48,187.7,38.962,3017.1,11.812,2.028,16.551,233.0,8.976,1.625,21.627,45.882,32.736,496.8,56.177,1.979,25.440,57.535,0.819,66.460,0.440,53.876,124.0,2,1,3,1,4,2,na
BATCH-1087,M-04,R.Novak,Night,2026-01-24 11:06,186.0,42.280,3093.8,12.192,1.988,14.002,231.8,8.009,1.976,24.411,43.165,32.719,501.7,53.473,2.037,25.404,57.946,0.894,65.408,0.477,56.682,115.0,2,2,3,1,4,2,na
BATCH-1088,M-03,J.Lee,Night,2026-01-24 16:24,183.4,41.007,3047.5,13.305,2.313,15.984,229.6,8.739,1.734,22.736,40.862,35.140,498.1,54.923,2.029,25.401,58.030,0.697,67.088,0.336,49.708,120.7,2,1,3,1,4,2,na
BATCH-1089,M-02,S.Ortiz,Night,2026-01-24 21:42,186.5,43.279,2971.2,12.038,2.233,14.786,230.1,8.780,1.577,23.102,45.431,36.053,499.9,49.693,2.079,25.347,55.696,0.840,68.363,0.461,54.316,123.8,2,1,3,1,4,2,na
BATCH-1090,M-02,J.Lee,Night,2026-01-25 03:00,185.3,40.811,2955.1,13.169,1.992,14.951,230.4,8.381,1.958,22.994,39.639,33.875,502.2,52.916,1.970,25.456,57.983,0.981,69.190,0.600,50.000,120.0,2,1,3,1,4,2,3.836
BATCH-1091,M-04,J.Lee,Day,2026-01-25 08:18,187.9,41.828,3024.6,11.596,2.448,15.675,225.9,9.050,2.274,23.760,30.393,33.797,500.0,53.772,2.073,25.434,57.172,0.778,66.885,0.453,55.671,131.5,2,1,3,1,4,2,na
BATCH-1092,M-01,R.Novak,Night,2026-01-25 13:36,182.9,42.757,2934.0,12.924,1.776,13.877,229.5,8.440,1.899,22.272,47.183,34.084,498.3,53.428,2.151,25.439,57.408,0.715,67.174,0.564,53.792,113.3,2,1,3,1,4,2,na
BATCH-1093,M-01,M.Chen,Day,2026-01-25 18:54,184.0,na,3091.6,13.653,2.285,15.382,228.6,8.550,2.026,20.055,49.520,35.394,499.6,55.457,1.982,25.358,59.732,0.735,66.147,0.481,54.923,124.2,2,1,3,1,4,2,na
BATCH-1094,M-01,R.Novak,Night,2026-01-26 00:12,183.8,40.200,3059.0,15.342,2.278,15.166,228.0,8.431,1.912,22.600,33.185,32.887,499.6,52.533,2.059,25.228,56.492,0.691,67.937,0.532,52.099,119.3,2,1,3,1,4,2,na
BATCH-1095,M-02,R.Novak,Day,2026-01-26 05:30,180.6,41.498,2976.5,11.862,2.007,15.492,229.4,8.506,1.885,21.023,39.951,34.286,498.5,58.363,2.017,25.488,58.976,0.722,66.303,0.385,56.815,123.1,3,1,3,1,4,2,na
BATCH-1096,M-02,A.Kumar,Night,2026-01-26 10:48,185.9,41.288,2914.3,12.962,2.198,15.289,233.6,8.061,2.038,21.207,48.096,35.170,499.0,55.001,2.071,25.362,57.665,0.763,69.146,0.509,56.292,121.8,2,1,3,1,3,2,na
BATCH-1097,M-04,J.Lee,Day,2026-01-26 16:06,185.8,41.020,3067.7,12.338,1.725,17.455,231.3,7.924,1.856,22.880,55.287,34.601,506.4,54.972,2.051,25.331,57.664,0.659,64.428,0.201,55.284,117.1,2,2,3,1,4,2,na
